Date,Close,High,Low,Open,Volume,Stock,Adj Close
2020-01-29,678.5634155273438,681.2271232506934,673.8803981274411,675.8996553584789,6832757.0,INFY,
2020-01-30,670.8300170898438,678.5634230837039,668.5099848025825,678.5634230837039,3859680.0,INFY,
2020-01-31,666.7484741210938,674.481879846576,663.0106298864689,670.7010827359123,6092028.0,INFY,
2020-02-03,659.4017944335938,679.6375303151891,656.9098981061286,671.9470769378582,6416745.0,INFY,
2020-02-04,676.9736938476562,678.7352336975645,661.7216998917521,661.7216998917521,5771311.0,INFY,
2020-02-05,674.1381225585938,675.3840705824857,665.4165912823738,671.087734255625,6310409.0,INFY,
2020-02-06,662.7958374023438,676.0715282077489,661.6358474791257,673.9663127493939,7341622.0,INFY,
2020-02-07,667.908447265625,669.2403010625379,662.4950738825356,666.7484574140747,2853344.0,INFY,
2020-02-10,664.3855590820312,668.5100320813469,661.4210760856257,665.0729625076639,3827682.0,INFY,
2020-02-11,664.6862182617188,669.4551413510103,660.948426435237,669.3692355980739,4312817.0,INFY,
2020-02-12,671.1307373046875,673.021135918938,666.0180862043903,666.6195838242222,2948825.0,INFY,
2020-02-13,680.7544555664062,682.2581732025579,672.1188304878938,674.5247682166347,4387430.0,INFY,
2020-02-14,675.7708740234375,686.7265336458709,674.1811978265952,682.6879662763401,5321680.0,INFY,
2020-02-17,678.3485717773438,681.7856409332788,673.0640569718882,679.0789279947746,2929629.0,INFY,
2020-02-18,685.3945922851562,686.5975350544546,673.3648499190842,674.5248398118925,5083346.0,INFY,
2020-02-19,687.8004760742188,691.5812204812013,684.1056374134477,687.4137953252462,3985192.0,INFY,
2020-02-20,684.8359985351562,692.6553095352078,682.1292857183249,690.2064188498924,4564569.0,INFY,
2020-02-24,683.8477783203125,697.381236684265,680.6685316451869,687.4996639105854,6627536.0,INFY,
2020-02-25,686.0390625,692.5694732797665,683.4612604902738,686.5546019237387,6996695.0,INFY,
2020-02-26,672.591552734375,688.6598634932111,670.6582010976425,682.2153580374362,8760569.0,INFY,
2020-02-27,668.381103515625,670.8729998695887,663.5262743370657,668.5100145994749,5223386.0,INFY,
2020-02-28,628.7258911132812,650.2934792695119,620.4339407268166,644.4504721445045,14123957.0,INFY,
2020-03-02,636.7601318359375,658.1129593855362,630.4874899547933,633.280109160726,9821523.0,INFY,
2020-03-03,641.8727416992188,652.1839504012142,636.9319541961793,648.7468808338824,7826587.0,INFY,
2020-03-04,651.9691162109375,654.332101475623,640.6267764513437,647.8016904496086,11013444.0,INFY,
2020-03-05,648.403076171875,664.6862018093927,645.954185373142,656.2653928549879,7755293.0,INFY,
2020-03-06,634.95556640625,639.2948556767816,626.4917522394582,636.7170538393751,9216022.0,INFY,
2020-03-09,605.310791015625,623.6990776734783,598.9092398708025,622.5390879288327,10308654.0,INFY,
